Type,Customer,Address,Town,No. Machines,Latitude,Longitude,Serial Number
Vending,Actic Falun,"Lugnetvaegen 5,",791 83 Falun,1,60.6192581,15.6581941,2417007666
Vending,Fresh Fitness Soedermalm,Magnus Ladulaasgatan 65,118 27 Stockholm,3,59.311614,18.0705928,2417007667-2417007669-2417007675
Vending,AB Cypressen / CC Gym AB,Storgatan 88,35246 Vaexjoe,1,56.8790044,14.8058522,2417007668
Vending,Fitness 24 Seven SE -Trollhaettan Centrum,"Kungsgatan 33, 461 30 Trollhaettan",,1,58.2853013,12.2904801,2417007671
Vending,Filborna Arena AB,Filbornavaegen 101a,25661 Helsingborg,1,56.0464674,12.6945121,2417007672
Vending,Kalmar Fitnesscenter i Kopparslageren AB,Fiskeragatan 8,39232 Kalmar,1,56.6634447,16.356779,2417007673
Vending,Fitness 24 Seven SE -Vaenersborg Centrum,"Edsgatan 27, 462 30 Vaenersborg",,1,58.3833741,12.3253898,2417007676
Vending,Fitness 24 Seven SE -Vaestervik Centrum,"Kvarngatan 12, 593 30 Vaestervik",,1,57.7582431,16.6402677,2417007677
Vending,Fitness 24 Seven SE -Maersta Valsta C,"Hammargatan 6, 195 53 Maersta",,1,59.6161407,17.8286943,2417007679
Vending,Fitness 24 Seven SE -Staffanstorp Centrum,"Apoteksgatan 9, 245 31 Staffanstorp",,1,55.6424339,13.2057756,2417007680
Vending,Boxen Umeaa,Bjoernvaegen 17,Umeaa,1,63.8258471,20.2630354,2417007683
Vending,Sportlife Gym och Bad i Vaest AB - Nordic Wellness Krokslaett,"Goeteborgsvaegen 95 , Plan 1 , 431 37 Moelndal",,1,57.6713541,12.0138033,2417007684
Vending,Fitness 24 Seven SE -Malmoe Lilla Torg,"Skomakaregatan 5, 211 34 Malmoe",,1,55.6048193,13.0001091,2417007686
Vending,"Actic Flygstaden, Halmstad","Kristinebergsvaegen 24,",30241 Halmstad,1,56.6743748,12.8577884,2417008190
Vending,Actic Hoegdalen,"Rangstaplan ,",12454 Bandhagen,1,59.2646197,18.0414941,2417008191
Vending,Actic Norrkoeping 9019,"Dalsgatan 7, 60232 NORRKoePING",,1,58.587745,16.192421,2417008192
Vending,Actic Varberg Friskvaagen,"Strandgatan 5,",43244 Varberg,1,57.107118,12.2520907,2417008194
Vending,World Class Express Stora Essingen,Vaenskapsvaegen 33,112 65 Stockholm,1,59.3182817,17.9848496,2417008195
Vending,Actic Motala City,"Praestgatan 4,",59130 Motala,1,58.5380335,15.0470936,2417008198
Vending,Actic Centralbadet i Uppsala 9110,"S:t Persgatan 4, 75320 UPPSALA",,1,59.8585638,17.6389267,2417008199
Vending,Actic Centralgym i Uppsala 9111 1,"Saebygatan 5, 75323 UPPSALA",,1,59.8585638,17.6389267,2417008200
Vending,Maa Baettre Sandviken,Hyttgatan 37B,811 31 Sandviken,1,60.6229859,16.7746473,2417008201
Vending,Fitness 24 Seven SE -Danderyd Stocksund,"Stockholmsvaegen 43, 182 78 Stocksund",,1,59.3841662,18.0478685,2417008202
Vending,Actic Sydpoolen,"oestra Kanalgatan 2,",152 71 Soedertaelje,1,59.1888336,17.636212,2417008203
Vending,Actic Vaexjoe 9186,"Hejaregatan 1, 35246 VaeXJoe",,1,56.8790044,14.8058522,2417008204
Vending,World Class Express Hagsaetra,Hagsaetra Torg 8,124 73 Bandhagen,1,59.2678465,18.0515894,2417008205
Vending,Actic Skoevde Arena,"Egnells Vaeg 1,",541 40 Skoevde,1,58.3965458,13.8417053,2417008209
Vending,Svenska Nergy AB (STC - Stenungsund Lilla Strandvaegen),Lilla strandvaegen 2,44431 stenungsund,1,58.0678388,11.8294346,2421011271
Vending,Svenska Nergy AB (STC - Stenungsund Strandvaegen),strandvaegen 35,44431 stenungsund,1,58.0678388,11.8294346,2421011275
Vending,F24S Karlskrona Centrum,"Ronnebygatan 44, 371 33 Karlskrona",,1,56.1625482,15.5858268,2421011281
Vending,Svenska Nergy AB (STC - Uddevalla),Bastionsgatan 18,45150 Uddevalla,1,58.3498003,11.935649,2421011284
Vending,PL Haelsocenter AB (STC - Tibro),Storgatan 36,54332 Tibro,1,58.424323,14.1616418,2421011287
Vending,F24S Malmoe Vaestra Hamnen,"Vaestra Varvsgatan 19, 211 19 Malmoe",,1,55.613966,12.9880233,2421011291
Vending,F24S Malmoe Dalaplan,"Ystadvaegen 13, 214 30 Malmoe",,1,55.5840651,13.0101862,2421011292
Vending,Svenska Nergy AB (STC - Karlstad Kasernhoejden),Kasernhoejden 14,65339 Karlstad,1,59.4021806,13.5114977,2421011293
Vending,"Fitness World, Forum","Worsaaesvej 17, 1. sal",1972 Frederiksberg C,1,55.6840317,12.5532982,2421011497
Vending,Butchers Lab,Staldgade 22,1699 Koebenhavn V,1,55.66837,12.562184,2421011499
Vending,Fitnessdk Roskilde,"Ro's Torv, Koebenhavnsvej 29",Roskilde,1,55.6410858,12.0986397,2421011501
Vending,Fitness World,"Idraetsvej 5, 1. sal",3550 Slangerup,1,55.845994,12.169767,2421011505
Vending,FW Fredensborg,"Tinghusvej 4B, ",3480 Fredensborg,1,55.979118,12.401322,2421011508
Vending,FW Vaerloese,Kirke Vaerloesevej 32,3500 Vaerloese,1,55.782225,12.361476,2421011510
Vending,F24S Sandviken Centrum,"Koepmangatan 18, 81139 Sandviken",,1,60.621607,16.775918,2422012496
Vending,F24S Ludvika Centrum,"Engelbrektsgatan 3, 771 30 Ludvika",,1,60.1493312,15.1854408,2422012501
Vending,F24S Solna Raasunda,"Kruthusbacken 48, 169 52 Solna",,1,59.3624402,18.0047968,2422012502
Vending,NW - Lindhagen,"Nordenflychtsvaegen 60, Plan 5 , 112 51 STOCKHOLM",,1,59.3389931,18.0117631,2422012503
Vending,F24S Stockholm Soedermalm,"Blekingegatan 63, 116 62 Stockholm",,1,59.3108484,18.0767429,2422012504
Vending,NW -Uppsala,"Heidenstamstorget 69, 754 27 UPPSALA",,1,59.8777023,17.6470609,2422012505
Vending,F24S oerebro Tybble C,Drakenbergsgatan 1B 702 19 oerebro,,1,59.2588841,15.2393551,2422012506
Vending,F24S Sollentuna Rotebro,"Kung Hans Vaeg 12, 192 68 Sollentuna",,1,59.4727647,17.913551,2422012510
Vending,Fitnessworld Gilleleje,Fiskerbakken 15,3250 Gilleleje,1,56.1110796,12.3299939,2422012512
Vending,FW Herlev,Noerrelundvej 4,2730 Herlev,1,55.725406,12.416353,2422012513
Vending,Fitnessworld Hilleroed Frejasvej,Frejasvej 32-38,3400 Hilleroed,1,55.932972,12.28532,2422012518
Vending,FW Frejasvej,Frejasvej 32-34,3400 Hilleroed,1,55.932972,12.28532,2511000193
Vending,Fitness World Husum,Frederikssundsvej 264,2700 Husum,1,55.709501,12.480966,2511000195
Vending,Fitness World Hundige,Over Boeljen 20,2670 Greve,1,55.5985117,12.241408,2511000198
Vending,Malkars Traeningscenter AB,Norravaegen 2,38237 Nybro,1,56.7437998,15.9086806,2511000202
Vending,Dit velvaere v. Rikke Thomsen,Flodvej 75 B,2765 Smoerumnedre,1,55.74058,12.301729,2511000203
Vending,Fitness world Valby,Mosedalvej 11,2500 Valby,1,55.6673325,12.5136574,2511000204
Vending,FW Soeborg Telefonvej,"Telefonvej 8D, ",2860 Soeborg,2,55.7394191,12.4925428,2511000206-2511000212
Vending,FW Frederikssund,Falkenborggaarden 4,3600 Frederikssund,1,55.839464,12.064296,2511000207
Vending,Fitness world taastrup,Selsmosevej 2,2630 Taastrup,1,55.652969,12.301993,2511000210
Vending,Fitness Fokus,Sct. Joergensbjerg 41,4400 Kalundborg,1,55.681683,11.1037079,2511000213
Vending,Fitness24Seven (Goeteborg Ullevi),"Skaanegatan 1-3, 411 40",Goeteborg,1,57.7055313,11.9837121,2514003424
